chromosome	strand	start_fw	end_fw	CGs_fw	length_fw	score_fw	start_rev	end_rev	CGs_rev	length_rev	score_rev	length_product	score_product	cov_contr	cov_tumor	meth_contr	meth_tumor	gc_fw	gc_rev	gene
chr7	-	128031412	128031433	3	21	2305.43	128031647	128031671	5	24	4521.47	259	6826.9	13.48	33.0	0.0	83.43	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031671	128031695	5	24	4534.64	128031913	128031935	3	22	2272.17	264	6806.81	12.9	33.03	0.0	82.87	0.92	0.92	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031669	128031690	5	21	4622.76	128031901	128031920	3	19	2171.24	251	6794.0	12.93	33.0	0.0	82.21	0.95	0.95	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031647	128031671	5	24	4521.47	128031913	128031935	3	22	2272.17	288	6793.64	12.98	33.0	0.0	82.8	0.88	0.88	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031669	128031690	5	21	4622.76	128031740	128031762	3	22	2133.44	93	6756.2	12.9	33.4	0.0	80.7	0.95	0.95	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031671	128031695	5	24	4534.64	128031901	128031920	3	19	2171.24	249	6705.88	12.93	33.0	0.0	81.39	0.92	0.92	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031647	128031671	5	24	4521.47	128031901	128031920	3	19	2171.24	273	6692.71	13.02	32.96	0.0	81.32	0.88	0.88	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031671	128031695	5	24	4534.64	128031740	128031762	3	22	2133.44	91	6668.08	12.9	33.4	0.0	79.88	0.92	0.92	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031647	128031671	5	24	4521.47	128031740	128031762	3	22	2133.44	115	6654.91	12.98	33.36	0.0	79.82	0.88	0.88	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031397	128031417	4	20	3145.77	128031759	128031777	4	18	3406.13	380	6551.9	13.3	33.0	0.0	81.81	0.9	0.9	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chrX	+	3843278	3843302	7	24	4138.17	3843504	3843526	4	22	2372.17	248	6510.34	25.1	39.1	1.31	49.96	0.88	0.88	LOC389906 LOC389906
chr7	-	128031652	128031671	4	19	3818.67	128031716	128031740	4	24	2566.09	88	6384.76	13.02	33.38	0.26	78.69	0.89	0.89	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr22	-	42283490	42283512	3	22	1939.56	42283739	42283758	6	19	4398.02	268	6337.58	17.4	27.2	1.59	83.56	0.82	0.82	TCF20 TCF20 TCF20 TCF20
chr7	+	128031351	128031372	4	21	3064.71	128031666	128031685	4	19	3177.24	334	6241.95	15.8	28.7	0.48	89.08	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	128031351	128031372	4	21	3064.71	128031654	128031677	4	23	3125.22	326	6189.93	15.8	28.72	0.48	88.31	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr22	+	50544380	50544399	5	19	3939.21	50544457	50544475	3	18	2233.11	95	6172.32	17.4	26.6	0.34	96.4	0.79	0.79	
chr7	-	128031412	128031433	3	21	2305.43	128031652	128031671	4	19	3818.67	259	6124.1	13.48	33.01	0.0	85.88	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031652	128031671	4	19	3818.67	128031913	128031935	3	22	2272.17	283	6090.84	12.98	33.01	0.0	85.26	0.89	0.89	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr9	+	129383630	129383648	6	18	4123.78	129383681	129383700	3	19	1932.26	70	6056.04	19.73	26.8	0.38	79.92	0.89	0.89	
chrX	+	3843284	3843302	6	18	3647.05	3843504	3843526	4	22	2372.17	242	6019.22	25.1	39.1	1.05	50.64	0.94	0.94	LOC389906 LOC389906
chr7	-	128031652	128031671	4	19	3818.67	128031901	128031920	3	19	2171.24	268	5989.91	13.01	32.98	0.0	83.78	0.89	0.89	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031716	128031740	4	24	2566.09	128031759	128031777	4	18	3406.13	61	5972.22	12.84	33.4	0.26	73.62	0.96	0.96	SND1 SND1 LRRC4 LRRC4
chr7	-	128031652	128031671	4	19	3818.67	128031740	128031762	3	22	2133.44	110	5952.11	12.98	33.38	0.0	82.26	0.89	0.89	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chrX	+	3843278	3843302	7	24	4138.17	3843507	3843526	3	19	1780.16	248	5918.33	25.1	39.1	1.43	49.88	0.88	0.88	LOC389906 LOC389906
chr7	-	128031623	128031647	3	24	2504.23	128031759	128031777	4	18	3406.13	154	5910.36	12.86	33.3	0.0	83.56	0.83	0.83	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr6	+	43276270	43276294	4	24	2621.56	43276454	43276475	5	21	3251.56	205	5873.12	17.8	23.65	0.88	92.16	0.62	0.62	TTBK1 TTBK1 TTBK1 TTBK1 TTBK1 TTBK1 TTBK1 TTBK1
chr7	-	100171460	100171482	5	22	3690.89	100171609	100171629	3	20	2120.55	169	5811.44	18.62	27.6	1.13	84.44	0.86	0.86	GPC2 GPC2
chr7	+	26152842	26152863	3	21	1968.46	26152881	26152905	6	24	3811.49	63	5779.95	16.4	22.46	0.64	95.89	0.81	0.81	NFE2L3 NFE2L3 NFE2L3 NFE2L3
chr7	-	128031397	128031417	4	20	3145.77	128031716	128031740	4	24	2566.09	343	5711.86	13.34	33.0	0.26	71.26	0.9	0.9	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031412	128031433	3	21	2305.43	128031759	128031777	4	18	3406.13	365	5711.56	13.3	33.03	0.0	80.81	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031759	128031777	4	18	3406.13	128031913	128031935	3	22	2272.17	176	5678.3	12.8	33.03	0.0	80.18	0.89	0.89	SND1 SND1 LRRC4 LRRC4
chr7	+	129169319	129169343	3	24	2613.34	129169472	129169493	3	21	3045.55	174	5658.89	15.18	34.24	0.34	91.74	0.79	0.79	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	-	128031397	128031417	4	20	3145.77	128031623	128031647	3	24	2504.23	250	5650.0	13.36	32.9	0.0	81.18	0.9	0.9	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	129169319	129169343	3	24	2613.34	129169456	129169476	3	20	2970.51	157	5583.85	15.15	34.2	0.34	90.63	0.79	0.79	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr22	-	42283490	42283512	3	22	1939.56	42283744	42283767	5	23	3643.24	277	5582.8	17.36	27.2	1.61	83.36	0.82	0.82	TCF20 TCF20 TCF20 TCF20
chr7	-	128031759	128031777	4	18	3406.13	128031901	128031920	3	19	2171.24	161	5577.37	12.83	33.0	0.0	78.71	0.89	0.89	SND1 SND1 LRRC4 LRRC4
chr1	-	235649026	235649046	5	20	3426.62	235649140	235649158	3	18	2144.66	132	5571.28	21.01	23.98	0.52	96.94	0.85	0.85	GNG4 GNG4 GNG4 GNG4
chr11	-	57476480	57476503	5	23	2912.64	57476528	57476550	4	22	2600.82	70	5513.46	19.6	24.0	1.44	84.08	0.78	0.78	RTN4RL2 RTN4RL2 RTN4RL2 RTN4RL2
chr17	+	76537493	76537511	3	18	1852.15	76537572	76537594	6	22	3649.87	101	5502.02	18.13	21.64	0.0	93.66	0.78	0.78	CYGB CYGB CYGB CYGB CYGB CYGB CYGB CYGB PRCD PRCD
chr15	+	90956784	90956808	3	24	1978.79	90956847	90956870	5	23	3502.8	86	5481.59	19.3	24.1	0.22	93.38	0.79	0.79	RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1
chr15	+	90956778	90956802	3	24	1971.45	90956847	90956870	5	23	3502.8	92	5474.25	19.3	24.1	0.7	93.22	0.75	0.75	RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1 RCCD1
chr22	+	41237917	41237941	4	24	2123.64	41238071	41238091	6	20	3337.95	174	5461.59	16.33	19.5	0.0	92.54	0.92	0.92	CHADL CHADL CHADL CHADL
chr7	+	128031274	128031297	3	23	2378.04	128031351	128031372	4	21	3064.71	98	5442.75	15.66	28.6	1.4	89.26	0.61	0.61	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chrX	+	3843284	3843302	6	18	3647.05	3843507	3843526	3	19	1780.16	242	5427.21	25.1	39.1	1.17	50.56	0.94	0.94	LOC389906 LOC389906
chr22	+	41237917	41237941	4	24	2123.64	41238066	41238087	6	21	3285.21	170	5408.85	16.33	19.5	0.0	91.81	0.92	0.92	CHADL CHADL CHADL CHADL
chr3	-	194487579	194487603	3	24	1999.18	194487721	194487745	5	24	3406.51	166	5405.69	16.96	23.52	0.56	95.34	0.79	0.79	ATP13A3 ATP13A3 ATP13A3 ATP13A3 ATP13A3 ATP13A3 ATP13A3-DT ATP13A3-DT ATP13A3-DT
chr7	-	100171460	100171482	5	22	3690.89	100171684	100171703	3	19	1688.41	243	5379.3	18.62	27.2	0.8	77.66	0.86	0.86	GPC2 GPC2
chr15	+	101746069	101746090	5	21	2766.82	101746247	101746267	4	20	2584.25	198	5351.07	18.39	23.25	1.32	85.82	0.81	0.81	
chr22	+	41237915	41237939	4	24	2008.61	41238071	41238091	6	20	3337.95	176	5346.56	16.3	19.5	0.0	90.07	0.92	0.92	CHADL CHADL CHADL CHADL
chr22	+	41237915	41237939	4	24	2008.61	41238066	41238087	6	21	3285.21	172	5293.82	16.3	19.5	0.0	89.34	0.92	0.92	CHADL CHADL CHADL CHADL
chr7	-	128031397	128031417	4	20	3145.77	128031740	128031762	3	22	2133.44	365	5279.21	13.3	33.0	0.0	74.82	0.9	0.9	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	27173943	27173967	3	24	2519.93	27174207	27174230	3	23	2745.46	287	5265.39	15.43	31.66	0.34	92.72	0.62	0.62	HOXA10-HOXA9 HOXA10-HOXA9 HOXA10 HOXA10 HOXA10 HOXA10 HOXA10
chr4	+	143559388	143559411	6	23	3502.82	143559478	143559502	3	24	1761.52	114	5264.34	12.52	19.94	0.0	96.64	0.78	0.78	
chr4	+	143559388	143559411	6	23	3502.82	143559499	143559517	3	18	1757.2	129	5260.02	12.52	19.9	0.28	96.78	0.78	0.78	
chr7	+	128031666	128031685	4	19	3177.24	128031782	128031806	3	24	2042.59	140	5219.83	16.0	29.0	0.58	83.26	0.95	0.95	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chrX	+	3843295	3843315	5	20	2823.28	3843504	3843526	4	22	2372.17	231	5195.45	25.08	39.1	0.72	48.72	0.9	0.9	LOC389906 LOC389906
chr4	-	168877936	168877955	3	19	1965.95	168878061	168878080	5	19	3209.51	144	5175.46	13.6	23.17	0.56	93.78	0.63	0.63	PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD
chr3	+	128491966	128491989	4	23	2679.08	128492155	128492179	4	24	2489.57	213	5168.65	13.02	24.32	0.42	88.42	0.78	0.78	GATA2 GATA2 GATA2-AS1 GATA2-AS1
chr7	+	128031654	128031677	4	23	3125.22	128031782	128031806	3	24	2042.59	152	5167.81	16.0	29.02	0.58	82.49	0.91	0.91	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	26152842	26152863	3	21	1968.46	26152884	26152905	5	21	3166.45	63	5134.91	16.4	22.46	0.5	95.76	0.81	0.81	NFE2L3 NFE2L3 NFE2L3 NFE2L3
chr4	-	168877936	168877955	3	19	1965.95	168878074	168878098	5	24	3144.75	162	5110.7	13.6	23.14	0.56	92.96	0.63	0.63	PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD
chr7	-	128031623	128031647	3	24	2504.23	128031716	128031740	4	24	2566.09	117	5070.32	12.91	33.3	0.26	73.0	0.83	0.83	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr4	-	168877936	168877955	3	19	1965.95	168878064	168878086	5	22	3097.29	150	5063.24	13.6	23.16	0.56	92.24	0.63	0.63	PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD PALLD
chr12	-	49089933	49089957	4	24	2523.74	49090113	49090137	4	24	2537.57	204	5061.31	20.15	22.1	0.31	94.22	0.83	0.83	DHH DHH DHH DHH DHH DHH DHH DHH DHH DHH
chr11	+	61828860	61828880	6	20	3529.88	61828963	61828984	3	21	1528.05	124	5057.93	17.24	22.9	1.38	79.08	0.9	0.9	FADS2 FADS2 FADS2 FADS2 FADS2
chr7	-	139036021	139036042	4	21	1826.72	139036156	139036174	5	18	3226.35	153	5053.07	15.05	35.4	0.5	52.31	0.86	0.86	ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L
chr3	+	128492155	128492179	4	24	2489.57	128492521	128492545	4	24	2522.27	390	5011.84	13.4	24.55	0.6	84.85	0.71	0.71	GATA2 GATA2 GATA2-AS1 GATA2-AS1
chr22	+	19523458	19523480	5	22	3079.44	19523678	19523702	3	24	1914.2	244	4993.64	12.48	22.0	0.74	94.64	0.77	0.77	CLDN5 CLDN5 CLDN5 CLDN5 CLDN5 CLDN5 CLDN5 CLDN5 CLDN5
chrX	+	3843278	3843302	7	24	4138.17	3843650	3843672	4	22	851.98	394	4990.15	24.7	38.9	1.36	33.93	0.88	0.88	LOC389906 LOC389906
chr7	-	27156086	27156110	3	24	2201.84	27156320	27156341	4	21	2783.93	255	4985.77	15.3	25.6	1.0	92.0	0.83	0.83	HOXA7 HOXA7
chr22	+	41237919	41237941	3	22	1637.06	41238071	41238091	6	20	3337.95	172	4975.01	16.38	19.5	0.0	93.78	0.91	0.91	CHADL CHADL CHADL CHADL
chr17	-	17495112	17495136	4	24	2604.85	17495235	17495259	4	24	2369.65	147	4974.5	16.2	21.9	0.38	93.52	0.71	0.71	RASD1 RASD1 RASD1 RASD1 RASD1
chr19	-	1467491	1467515	4	24	2531.94	1467846	1467866	4	20	2429.63	375	4961.57	17.8	20.98	0.82	97.46	0.62	0.62	APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2 APC2
chr22	+	19523458	19523480	5	22	3079.44	19523624	19523646	3	22	1856.91	188	4936.35	12.87	22.0	0.74	93.44	0.77	0.77	CLDN5 CLDN5 CLDN5 CLDN5 CLDN5 CLDN5 CLDN5 CLDN5 CLDN5
chr4	+	143559388	143559411	6	23	3502.82	143559438	143559459	3	21	1429.12	71	4931.94	12.51	20.0	0.3	87.58	0.78	0.78	
chr15	-	101746439	101746460	3	21	2401.97	101746798	101746817	3	19	2527.96	378	4929.93	16.8	28.74	0.24	95.86	0.57	0.57	
chr22	+	41237919	41237941	3	22	1637.06	41238066	41238087	6	21	3285.21	168	4922.27	16.38	19.5	0.0	93.04	0.91	0.91	CHADL CHADL CHADL CHADL
chr7	-	139035814	139035837	4	23	1693.73	139036156	139036174	5	18	3226.35	360	4920.08	15.3	35.5	0.32	50.77	0.87	0.87	ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L ZC3HAV1L
chr17	+	76537493	76537511	3	18	1852.15	76537581	76537601	5	20	3057.85	108	4910.0	18.13	21.58	0.0	94.1	0.78	0.78	CYGB CYGB CYGB CYGB CYGB CYGB CYGB CYGB PRCD PRCD
chr17	+	76537493	76537511	3	18	1852.15	76537575	76537594	5	19	3055.77	101	4907.92	18.13	21.62	0.0	93.9	0.78	0.78	CYGB CYGB CYGB CYGB CYGB CYGB CYGB CYGB PRCD PRCD
chr17	+	61409471	61409495	4	24	2437.97	61409637	61409658	4	21	2453.08	187	4891.05	17.63	21.42	0.42	94.21	0.75	0.75	
chr17	+	61409493	61409517	4	24	2437.1	61409637	61409658	4	21	2453.08	165	4890.18	17.78	21.48	0.66	94.06	0.88	0.88	
chr11	-	57476482	57476503	4	21	2283.62	57476528	57476550	4	22	2600.82	68	4884.44	19.6	24.0	1.56	83.26	0.76	0.76	RTN4RL2 RTN4RL2 RTN4RL2 RTN4RL2
chr22	-	42283490	42283512	3	22	1939.56	42283749	42283772	4	23	2940.52	282	4880.08	17.3	27.2	1.64	83.7	0.82	0.82	TCF20 TCF20 TCF20 TCF20
chr7	-	128031412	128031433	3	21	2305.43	128031716	128031740	4	24	2566.09	328	4871.52	13.34	33.03	0.26	70.25	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031716	128031740	4	24	2566.09	128031913	128031935	3	22	2272.17	219	4838.26	12.84	33.03	0.26	69.63	0.96	0.96	SND1 SND1 LRRC4 LRRC4
chr22	-	42283490	42283512	3	22	1939.56	42283746	42283767	4	21	2895.9	277	4835.46	17.3	27.2	1.64	83.18	0.82	0.82	TCF20 TCF20 TCF20 TCF20
chr11	-	57476480	57476503	5	23	2912.64	57476715	57476737	3	22	1922.67	257	4835.31	19.5	24.26	0.49	82.36	0.78	0.78	RTN4RL2 RTN4RL2 RTN4RL2 RTN4RL2
chr11	-	57476480	57476503	5	23	2912.64	57476563	57476586	3	23	1920.84	106	4833.48	19.52	24.06	1.61	83.22	0.78	0.78	RTN4RL2 RTN4RL2 RTN4RL2 RTN4RL2
chr9	-	125889796	125889819	3	23	1388.13	125889859	125889878	6	19	3438.85	82	4826.98	15.64	20.42	0.28	85.6	0.83	0.83	PBX3 PBX3 PBX3 PBX3 PBX3 PBX3 PBX3 PBX3 PBX3 PBX3 PBX3 PBX3 PBX3
chr15	+	101746071	101746090	4	19	2240.41	101746247	101746267	4	20	2584.25	196	4824.66	18.08	23.25	1.34	86.28	0.79	0.79	
chr13	+	41458302	41458326	5	24	3009.66	41458409	41458429	3	20	1800.82	127	4810.48	12.9	21.16	1.16	94.07	0.79	0.79	RGCC RGCC RGCC RGCC RGCC RGCC RGCC RGCC RGCC RGCC RGCC
chr7	-	128031412	128031433	3	21	2305.43	128031623	128031647	3	24	2504.23	235	4809.66	13.36	32.94	0.0	80.18	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr22	-	37825230	37825249	4	19	2761.19	37825306	37825329	3	23	2048.29	99	4809.48	14.8	23.62	0.52	96.48	0.74	0.74	GALR3 GALR3 GALR3 GALR3
