Chro	strand	start	end	#CGs	length	score	cov_control	cov_tumor	meth_control	meth_tumor
chr1	+	1891731	1891749	3	18	76.14	3.0	6.5	0.0	16.26	
chr1	+	1909254	1909272	3	18	81.06	3.6	6.71	0.0	25.71	
chr1	+	2019275	2019296	3	21	315.29	5.5	8.0	0.0	38.24	
chr1	+	2019285	2019305	4	20	368.33	5.5	8.0	0.0	32.57	
chr1	+	2019296	2019314	4	18	295.54	5.5	8.0	0.0	25.3	
chr1	+	2019303	2019324	5	21	307.53	5.5	8.0	0.0	22.65	
chr1	+	2019305	2019324	4	19	244.76	5.5	8.0	0.0	23.03	
chr1	+	2019761	2019780	3	19	398.83	6.0	8.0	0.0	55.89	
chr1	+	2050404	2050427	3	23	76.45	3.38	6.43	0.0	17.62	
chr1	+	2050932	2050951	3	19	121.49	3.75	7.14	0.0	25.71	
chr1	+	2189608	2189627	3	19	344.15	6.0	4.33	0.0	71.3	
chr1	+	2189806	2189830	3	24	320.75	5.25	4.33	0.0	64.26	
chr1	+	2229467	2229491	3	24	131.83	6.62	3.75	0.0	40.62	
chr1	+	2444124	2444142	3	18	94.27	8.0	5.0	0.0	35.56	
chr1	+	2529494	2529515	5	21	396.66	4.46	7.0	0.0	26.07	
chr1	+	2628935	2628957	3	22	89.6	4.4	7.0	0.0	29.6	
chr1	+	3073586	3073606	4	20	353.85	5.67	5.33	0.0	52.5	
chr1	+	3189132	3189156	3	24	137.78	5.6	6.8	0.0	55.0	
chr1	+	3454692	3454715	4	23	64.19	3.55	4.56	0.0	18.52	
chr1	+	3531292	3531313	5	21	257.03	6.38	3.9	0.0	45.0	
chr1	+	3900250	3900274	4	24	89.88	7.0	5.56	0.0	21.67	
chr1	+	5992182	5992206	4	24	215.95	5.89	8.0	0.0	22.15	
chr1	+	6180531	6180555	3	24	186.82	3.88	4.67	0.0	43.52	
chr1	+	6180729	6180752	4	23	52.18	4.3	6.0	0.0	14.4	
chr1	+	6205962	6205986	3	24	114.04	4.86	5.0	0.0	30.21	
chr1	+	6206500	6206521	4	21	304.41	5.33	4.67	0.0	54.05	
chr1	+	6242732	6242754	3	22	394.49	4.33	5.67	0.0	79.32	
chr1	+	6249799	6249820	5	21	192.32	3.92	6.0	0.0	45.19	
chr1	+	6393027	6393051	3	24	56.18	5.38	6.5	0.0	20.0	
chr1	+	6393439	6393463	3	24	59.32	4.88	6.0	0.0	19.05	
chr1	+	6419713	6419737	3	24	50.82	4.25	8.0	0.0	13.06	
chr1	+	6419952	6419976	4	24	140.07	3.78	8.0	0.0	29.7	
chr1	+	6419957	6419976	3	19	116.71	3.71	8.0	0.0	33.06	
chr1	+	6419961	6419985	3	24	123.85	4.29	7.0	0.0	37.69	
chr1	+	6420836	6420856	3	20	202.7	4.25	6.25	0.0	57.5	
chr1	+	6420850	6420868	3	18	210.94	4.25	6.25	0.0	59.09	
chr1	+	6466200	6466224	4	24	390.35	5.1	7.67	0.0	30.22	
chr1	+	6466203	6466224	3	21	261.6	5.14	7.67	0.0	27.59	
chr1	+	6466206	6466228	3	22	263.75	5.14	7.67	0.0	26.59	
chr1	+	6579994	6580016	4	22	197.66	7.0	4.18	0.0	37.21	
chr1	+	6603291	6603311	3	20	161.58	8.5	7.12	0.0	27.5	
chr1	+	8217375	8217399	3	24	197.13	7.0	5.0	0.0	62.22	
chr1	+	8217394	8217418	4	24	235.07	7.0	5.27	0.0	59.09	
chr1	+	8217399	8217421	4	22	251.97	7.0	5.27	0.0	54.55	
chr1	+	8702291	8702315	3	24	220.75	5.5	5.0	0.0	100.0	
chr1	+	9182584	9182607	3	23	45.75	4.5	3.83	0.0	26.39	
chr1	+	9234887	9234908	3	21	38.9	6.4	7.5	0.0	10.28	
chr1	+	9292644	9292666	3	22	88.78	6.2	8.0	0.0	25.0	
chr1	+	9293133	9293157	3	24	57.1	8.25	5.71	0.0	14.05	
chr1	+	9651773	9651795	3	22	48.88	4.8	9.0	0.0	11.53	
chr1	+	9651792	9651814	4	22	101.69	5.4	9.0	0.0	16.46	
chr1	+	9651795	9651814	3	19	75.06	6.0	9.0	0.0	15.83	
chr1	+	10210647	10210668	5	21	132.92	7.5	4.0	0.0	34.17	
chr1	+	10210650	10210668	4	18	117.27	7.29	4.0	0.0	38.54	
chr1	+	13513463	13513482	3	19	242.56	4.86	7.43	0.0	49.46	
chr1	+	13700520	13700542	3	22	70.42	5.0	3.17	0.0	41.67	
chr1	+	15585015	15585039	3	24	43.3	5.5	6.0	0.0	15.56	
chr1	+	15759051	15759073	3	22	268.91	5.5	5.0	0.0	55.74	
chr1	+	15759126	15759146	3	20	214.22	5.2	5.0	0.0	43.52	
chr1	+	15847808	15847827	3	19	104.54	4.5	6.29	0.0	25.48	
chr1	+	16013031	16013053	3	22	151.09	3.5	5.0	0.0	36.61	
chr1	+	16156012	16156032	3	20	119.18	4.0	5.17	0.0	44.76	
chr1	+	16352490	16352513	5	23	89.09	7.0	8.0	0.0	14.5	
chr1	+	16352493	16352513	4	20	75.01	7.0	8.0	0.0	15.0	
chr1	+	16352511	16352533	3	22	54.69	7.0	8.0	0.0	14.05	
chr1	+	16352513	16352536	3	23	43.87	7.0	8.0	0.0	11.27	
chr1	+	16613426	16613444	3	18	237.32	10.67	15.33	0.0	13.35	
chr1	+	16873476	16873498	3	22	331.43	8.43	10.17	0.0	58.61	
chr1	+	17540015	17540033	3	18	147.21	6.67	5.0	0.0	44.44	
chr1	+	18913183	18913207	3	24	65.87	3.0	5.5	0.0	23.61	
chr1	+	18913203	18913225	3	22	75.26	2.71	5.5	0.0	26.39	
chr1	+	18955746	18955767	4	21	116.37	4.33	5.5	0.0	25.67	
chr1	+	18956197	18956215	4	18	47.28	4.33	7.0	0.0	12.62	
chr1	+	18956209	18956232	4	23	58.96	5.0	6.88	0.0	15.12	
chr1	+	18956212	18956232	3	20	46.44	6.0	6.83	0.0	14.6	
chr1	+	18957266	18957290	5	24	200.91	3.5	6.5	0.0	39.16	
chr1	+	18957270	18957290	4	20	139.73	3.29	6.5	0.0	34.37	
chr1	+	19882751	19882775	4	24	199.75	4.5	4.8	0.0	28.33	
chr1	+	19882773	19882792	3	19	123.16	4.5	4.88	0.0	22.32	
chr1	+	20343825	20343846	3	21	322.62	5.43	5.33	0.0	52.96	
chr1	+	20343835	20343854	3	19	429.54	5.0	5.33	0.0	57.59	
chr1	+	20484403	20484422	3	19	60.61	3.88	4.0	0.0	38.89	
chr1	+	20486212	20486236	3	24	30.82	3.5	4.0	0.0	15.83	
chr1	+	20486276	20486299	3	23	36.45	3.5	4.5	0.0	19.44	
chr1	+	20553236	20553254	3	18	137.31	5.5	5.67	0.0	22.59	
chr1	+	20660844	20660868	4	24	261.31	6.0	4.2	0.0	63.33	
chr1	+	20732022	20732045	3	23	72.31	3.57	4.88	0.0	19.86	
chr1	+	20787100	20787119	4	19	226.46	5.22	5.67	0.0	32.08	
chr1	+	21177199	21177221	3	22	190.73	2.33	3.5	0.0	50.0	
chr1	+	21177207	21177229	3	22	236.61	2.71	3.75	0.0	70.84	
chr1	+	21290013	21290034	3	21	106.33	4.2	4.67	0.0	28.89	
chr1	+	21428226	21428244	3	18	45.42	2.88	2.83	0.0	38.89	
chr1	+	21428286	21428310	3	24	142.95	4.0	2.62	0.0	62.5	
chr1	+	21428519	21428543	3	24	128.86	2.88	2.67	0.0	50.0	
chr1	+	21428533	21428555	3	22	119.1	2.25	2.67	0.0	50.0	
chr1	+	21428543	21428567	3	24	86.22	2.43	2.75	0.0	47.92	
chr1	+	21440425	21440445	3	20	91.16	2.71	5.0	0.0	27.38	
chr1	+	21937247	21937266	3	19	75.25	4.0	4.75	0.0	21.58	
chr1	+	21937261	21937281	4	20	163.21	4.43	4.64	0.0	39.78	
chr1	+	22052541	22052560	4	19	91.56	6.0	5.5	0.0	29.17	
chr1	+	22052974	22052996	4	22	99.35	5.43	5.5	0.0	32.5	
chr1	+	22053103	22053121	3	18	49.31	5.6	5.5	0.0	15.83	
chr1	+	22053117	22053135	3	18	80.32	5.6	5.5	0.0	28.33	
chr1	+	22053121	22053142	3	21	71.67	5.6	5.5	0.0	25.55	
chr1	+	22710707	22710730	3	23	69.33	4.17	6.33	0.0	16.19	
chr1	+	23167907	23167931	3	24	124.04	5.29	6.12	0.0	30.06	
chr1	+	23168166	23168184	3	18	86.82	5.12	6.14	0.0	22.38	
chr1	+	23838179	23838197	3	18	423.08	4.2	6.67	0.0	64.33	
chr1	+	24187921	24187943	3	22	49.24	3.4	5.5	0.0	36.67	
chr1	+	24322098	24322121	3	23	86.37	6.6	5.83	0.0	31.95	
chr1	+	24416321	24416345	3	24	71.91	7.75	5.4	0.0	31.67	
chr1	+	25246598	25246622	3	24	118.6	7.5	8.0	0.0	29.52	
chr1	+	25338281	25338304	3	23	67.73	4.62	9.0	0.0	21.39	
chr1	+	25338388	25338406	3	18	71.96	4.8	9.0	0.0	24.07	
chr1	+	25616671	25616695	3	24	78.24	4.83	4.2	0.0	33.33	
chr1	+	25616834	25616854	3	20	94.26	4.86	4.43	0.0	35.71	
chr1	+	25616944	25616962	3	18	118.96	4.83	4.0	0.0	46.88	
chr1	+	25617236	25617259	3	23	91.87	5.17	4.33	0.0	44.17	
chr1	+	25617480	25617503	3	23	124.19	4.38	4.0	0.0	47.22	
chr1	+	25617499	25617520	3	21	90.62	4.57	4.38	0.0	37.5	
chr1	+	25819916	25819937	3	21	124.4	2.67	6.0	0.0	43.06	
chr1	+	25820462	25820481	5	19	97.53	2.45	6.0	0.0	21.17	
chr1	+	25859431	25859450	3	19	83.28	4.0	9.0	0.0	22.78	
chr1	+	26234103	26234121	4	18	185.57	5.0	4.18	0.0	43.94	
chr1	+	26319168	26319187	4	19	345.81	8.25	3.0	0.0	92.42	
chr1	+	26411137	26411159	4	22	260.18	3.4	7.8	0.0	28.46	
chr1	+	26411140	26411159	3	19	196.94	3.25	8.29	0.0	29.23	
chr1	+	26411512	26411536	3	24	251.14	3.14	8.29	0.0	35.68	
chr1	+	26696761	26696780	3	19	95.93	6.4	6.25	0.0	26.6	
chr1	+	26826870	26826889	3	19	186.84	4.6	6.0	0.0	24.07	
chr1	+	26826889	26826908	3	19	239.37	4.6	6.0	0.0	35.11	
chr1	+	26826901	26826923	4	22	308.29	5.0	6.0	0.0	35.36	
chr1	+	26890301	26890321	3	20	50.37	4.86	7.0	0.0	21.85	
chr1	+	27106761	27106780	3	19	143.42	5.25	6.38	0.0	29.49	
chr1	+	27360761	27360784	4	23	351.56	3.55	6.33	0.0	35.99	
chr1	+	27360766	27360784	3	18	197.38	3.67	6.33	0.0	25.77	
chr1	+	27528139	27528162	3	23	77.26	5.0	4.86	0.0	25.95	
chr1	+	27575658	27575677	3	19	108.62	3.38	5.75	0.0	32.08	
chr1	+	27575677	27575698	3	21	183.55	3.43	5.75	0.0	34.38	
chr1	+	28259766	28259788	3	22	68.07	3.88	4.0	0.0	31.67	
chr1	+	28811989	28812009	3	20	226.7	9.0	5.33	0.0	50.93	
chr1	+	29230752	29230775	3	23	82.75	6.0	6.12	0.0	31.37	
chr1	+	29236245	29236263	3	18	54.69	7.0	8.5	0.0	14.05	
chr1	+	29236425	29236446	3	21	56.37	6.25	8.5	0.0	14.44	
chr1	+	29236752	29236771	3	19	57.19	5.88	8.5	0.0	14.61	
chr1	+	29238370	29238392	3	22	122.46	5.29	6.62	0.0	39.38	
chr1	+	30685054	30685073	3	19	112.51	5.62	5.0	0.0	48.61	
chr1	+	30719303	30719325	3	22	92.88	5.0	6.57	0.0	31.43	
chr1	+	30801923	30801947	3	24	266.43	6.0	6.0	0.0	37.78	
chr1	+	31772730	31772754	3	24	260.92	2.12	6.33	0.0	30.56	
chr1	+	31789175	31789198	3	23	118.78	4.75	5.86	0.0	33.21	
chr1	+	32014001	32014020	3	19	58.56	4.22	7.0	0.0	20.0	
chr1	+	32072957	32072979	4	22	277.28	4.67	5.0	0.0	29.17	
chr1	+	32072960	32072979	3	19	198.06	4.67	5.0	0.0	27.78	
chr1	+	32221965	32221988	3	23	68.04	3.33	5.38	0.0	17.08	
chr1	+	32248351	32248370	3	19	86.73	7.2	5.29	0.0	25.0	
chr1	+	32870916	32870939	5	23	421.98	3.0	6.33	0.0	32.67	
chr1	+	32870933	32870956	4	23	320.7	3.0	6.33	0.0	30.14	
chr1	+	32870937	32870956	3	19	253.56	3.0	6.33	0.0	30.93	
chr1	+	32901523	32901547	3	24	79.58	7.5	5.5	0.0	25.55	
chr1	+	34177285	34177306	3	21	410.67	5.0	5.0	0.0	85.93	
chr1	+	35121023	35121047	3	24	123.57	5.71	6.0	0.0	33.13	
chr1	+	36088948	36088967	3	19	205.49	4.86	5.0	0.0	43.89	
chr1	+	36224384	36224404	4	20	204.12	6.0	8.67	0.0	17.9	
chr1	+	36224398	36224420	4	22	159.89	6.0	9.5	0.0	16.74	
chr1	+	36224401	36224420	3	19	134.86	6.0	9.5	0.0	18.61	
chr1	+	36224404	36224427	3	23	207.67	6.0	8.43	0.0	23.81	
chr1	+	37034584	37034607	3	23	200.59	4.62	7.62	0.0	50.05	
chr1	+	37256069	37256091	3	22	205.23	3.0	6.33	0.0	35.58	
chr1	+	37693233	37693255	5	22	508.11	6.29	7.5	0.0	88.69	
chr1	+	37693236	37693255	4	19	393.38	6.0	7.5	0.0	85.86	
chr1	+	38005198	38005222	3	24	168.9	8.5	5.0	0.0	26.46	
chr1	+	38046858	38046880	3	22	203.31	8.0	5.11	0.0	37.96	
chr1	+	38046972	38046993	3	21	178.68	8.0	5.33	1.67	30.74	
chr1	+	38047407	38047426	3	19	79.62	8.0	4.88	0.0	23.36	
chr1	+	39576919	39576943	4	24	141.84	6.25	6.27	0.0	20.39	
chr1	+	39576943	39576967	3	24	115.64	7.8	6.86	0.0	29.05	
chr1	+	39955136	39955157	3	21	136.85	6.5	4.0	0.0	37.5	
chr1	+	39955309	39955329	4	20	197.12	6.5	4.55	0.0	40.91	
chr1	+	40691965	40691986	3	21	90.4	6.62	7.14	0.0	20.24	
chr1	+	40692046	40692070	4	24	136.4	6.09	6.8	0.0	26.67	
chr1	+	40692048	40692070	3	22	61.69	6.25	7.14	0.0	19.05	
chr1	+	40692052	40692073	3	21	45.42	6.25	8.0	0.0	16.67	
chr1	+	41241626	41241645	3	19	61.03	3.67	4.6	0.0	21.67	
chr1	+	41242557	41242575	3	18	142.4	3.43	3.33	0.0	35.93	
chr1	+	41496437	41496459	3	22	79.14	4.33	7.83	0.0	14.05	
chr1	+	41496457	41496478	3	21	73.68	4.0	7.14	0.0	14.9	
chr1	+	41496459	41496482	3	23	78.38	4.86	7.17	0.0	18.22	
chr1	+	41496478	41496501	3	23	132.02	4.86	7.14	0.0	25.48	
chr1	+	42334594	42334616	3	22	72.92	8.5	7.0	0.0	26.19	
chr1	+	42456528	42456552	4	24	163.98	4.67	5.1	0.0	32.67	
chr1	+	42957400	42957421	3	21	397.83	3.57	6.33	0.0	67.11	
chr1	+	43171841	43171864	3	23	95.46	3.86	6.12	0.0	20.98	
chr1	+	43936471	43936493	4	22	410.66	4.0	6.0	0.0	55.57	
chr1	+	43936477	43936498	4	21	387.84	4.0	6.27	0.0	56.89	
chr1	+	43936481	43936502	4	21	288.07	4.0	6.27	0.0	42.04	
chr1	+	43974852	43974876	3	24	92.72	6.8	6.0	0.0	19.52	
chr1	+	44800179	44800202	3	23	76.64	4.86	7.86	0.0	15.14	
chr1	+	45327274	45327297	3	23	217.83	6.0	6.62	0.0	28.88	
chr1	+	45327294	45327318	4	24	263.23	6.33	6.8	0.0	29.42	
chr1	+	45327297	45327318	3	21	177.68	6.0	6.62	0.0	25.52	
chr1	+	46448496	46448519	3	23	78.25	6.33	3.14	0.0	40.48	
chr1	+	46466863	46466887	3	24	119.5	6.5	4.88	0.0	26.88	
chr1	+	46668438	46668456	3	18	136.17	4.67	3.43	0.0	45.24	
chr1	+	47334239	47334262	3	23	76.31	7.0	4.0	0.0	37.5	
chr1	+	47438258	47438279	3	21	79.47	6.5	4.75	0.0	20.21	
chr1	+	47709355	47709378	3	23	142.55	5.29	5.5	0.0	54.17	
chr1	+	48776644	48776664	5	20	71.6	3.46	7.29	0.0	17.52	
chr1	+	50978123	50978146	3	23	110.47	3.4	4.75	0.0	31.79	
chr1	+	51519400	51519421	3	21	171.04	5.71	6.33	0.0	28.44	
chr1	+	51519465	51519489	3	24	118.84	6.5	6.33	0.0	20.18	
chr1	+	51519483	51519506	4	23	248.43	6.5	6.33	0.0	30.83	
chr1	+	52033416	52033435	3	19	76.54	3.2	6.0	0.0	22.22	
chr1	+	52033470	52033493	3	23	113.2	3.14	4.71	0.0	46.43	
chr1	+	52142474	52142492	3	18	131.74	7.0	6.0	0.0	47.22	
chr1	+	52368479	52368503	4	24	350.02	3.57	8.2	0.0	45.79	
chr1	+	52368485	52368503	3	18	264.49	4.0	7.88	0.0	43.48	
chr1	+	52368665	52368688	4	23	256.02	3.5	7.09	0.0	32.2	
chr1	+	52368670	52368688	3	18	153.2	3.5	7.0	0.0	27.6	
chr1	+	52552870	52552893	3	23	130.23	3.0	6.33	0.0	26.03	
chr1	+	52553811	52553829	3	18	114.66	3.0	6.86	0.0	34.9	
chr1	+	52553821	52553841	3	20	104.28	3.0	6.25	0.0	28.87	
chr1	+	53327651	53327675	3	24	84.46	5.6	5.86	0.0	26.19	
chr1	+	53327944	53327965	3	21	117.89	5.4	5.38	0.0	25.83	
chr1	+	53328023	53328045	4	22	196.56	5.67	6.0	0.0	21.67	
chr1	+	53328152	53328176	3	24	205.08	5.5	5.0	0.0	33.7	
chr1	+	53946557	53946579	3	22	87.63	5.5	8.0	0.0	38.89	
chr1	+	54200172	54200194	4	22	125.36	9.2	6.11	0.0	27.78	
chr1	+	54406287	54406306	4	19	272.88	3.78	4.91	0.0	32.88	
chr1	+	54406533	54406554	3	21	95.58	4.43	5.12	0.0	15.0	
chr1	+	54488358	54488382	3	24	175.08	6.0	5.0	0.0	30.37	
chr1	+	54488363	54488384	3	21	184.64	6.0	5.0	0.0	31.11	
chr1	+	54542665	54542688	3	23	163.36	5.8	4.62	0.0	30.0	
chr1	+	54996904	54996926	3	22	175.49	6.75	3.38	0.0	29.17	
chr1	+	56477973	56477995	3	22	181.75	4.71	6.5	0.0	45.83	
chr1	+	58576567	58576585	3	18	235.29	5.0	4.67	0.0	52.96	
chr1	+	58576580	58576602	3	22	242.64	5.0	4.67	0.0	55.56	
chr1	+	58576864	58576884	5	20	539.4	5.0	5.0	0.0	71.11	
chr1	+	58577111	58577134	4	23	432.95	5.0	5.0	0.0	72.22	
chr1	+	58805801	58805824	3	23	305.62	3.4	6.0	0.0	55.61	
chr1	+	59814778	59814798	3	20	118.91	2.67	7.43	0.0	25.0	
chr1	+	59814959	59814982	5	23	562.65	2.5	6.36	0.0	77.79	
chr1	+	59814961	59814984	5	23	499.1	2.54	6.36	0.0	66.45	
chr1	+	59814964	59814984	4	20	411.48	2.6	6.0	0.0	67.0	
chr1	+	59814993	59815012	3	19	140.32	3.0	6.62	0.0	40.42	
chr1	+	61050311	61050333	4	22	140.81	5.0	5.67	0.0	31.3	
chr1	+	61082432	61082455	3	23	146.5	6.83	6.67	0.0	25.61	
chr1	+	61082455	61082479	3	24	181.64	6.83	6.67	0.0	30.6	
chr1	+	62319366	62319388	3	22	109.67	4.0	5.75	0.0	25.83	
chr1	+	62687967	62687991	3	24	79.04	3.57	3.71	0.0	29.76	
chr1	+	62688039	62688059	3	20	40.61	3.5	4.17	0.0	17.78	
chr1	+	62688498	62688521	3	23	70.27	3.25	4.43	0.0	30.95	
chr1	+	63195803	63195825	3	22	204.84	5.0	5.67	0.0	38.43	
chr1	+	63319845	63319865	4	20	310.53	4.4	6.33	0.0	39.76	
chr1	+	63319856	63319875	5	19	524.42	4.5	6.33	0.0	53.03	
chr1	+	63319861	63319881	5	20	453.46	5.0	6.57	0.0	49.17	
chr1	+	63322806	63322828	3	22	117.67	2.67	5.62	0.0	28.15	
chr1	+	63322815	63322839	3	24	86.79	2.75	5.5	0.0	21.07	
chr1	+	63323096	63323117	3	21	254.19	3.8	5.0	0.0	57.96	
chr1	+	63323311	63323332	4	21	248.82	3.5	4.33	0.0	47.5	
chr1	+	63323315	63323339	4	24	227.31	3.5	4.55	0.0	48.79	
chr1	+	63323327	63323350	5	23	262.51	3.5	4.5	0.0	43.69	
chr1	+	63323332	63323353	5	21	289.96	3.5	4.5	0.0	48.22	
chr1	+	63323339	63323363	5	24	306.41	3.5	4.5	0.0	50.6	
chr1	+	63323401	63323422	6	21	517.2	3.2	4.8	0.0	81.89	
chr1	+	63323411	63323434	4	23	365.64	3.09	4.55	0.0	78.18	
chr1	+	63323645	63323669	3	24	218.1	3.12	4.62	0.0	61.67	
chr1	+	65793185	65793209	3	24	149.94	6.0	3.67	0.0	61.67	
chr1	+	75131572	75131595	3	23	166.79	2.14	3.57	0.0	67.14	
chr1	+	75136516	75136539	4	23	386.01	2.12	3.82	0.0	62.12	
chr1	+	76868289	76868307	3	18	165.22	5.5	5.33	0.0	21.11	
chr1	+	76868629	76868653	3	24	306.59	4.8	5.33	0.0	40.93	
chr1	+	77977393	77977417	3	24	266.22	4.5	7.0	0.0	89.08	
chr1	+	84078068	84078092	4	24	47.4	3.91	4.0	0.0	17.71	
chr1	+	84078071	84078092	3	21	34.88	4.0	4.0	0.0	18.06	
chr1	+	84078092	84078113	4	21	66.63	4.2	3.67	0.0	27.78	
chr1	+	84690717	84690740	3	23	181.76	4.5	5.43	0.0	46.19	
chr1	+	85200687	85200708	3	21	154.99	2.12	8.5	0.0	21.1	
chr1	+	85200900	85200924	3	24	66.15	2.6	11.0	0.0	9.71	
chr1	+	85201335	85201356	3	21	236.86	2.12	8.0	0.0	31.61	
chr1	+	85201784	85201808	3	24	115.74	2.4	9.0	0.0	28.23	
chr1	+	85201803	85201822	3	19	113.06	2.17	9.14	0.0	27.89	
chr1	+	86914576	86914598	3	22	107.6	3.0	10.14	0.0	15.91	
chr1	+	86914639	86914658	3	19	102.24	3.0	9.12	0.0	14.65	
chr1	+	86914813	86914835	3	22	169.15	3.0	8.0	0.0	25.97	
chr1	+	86914952	86914975	3	23	110.41	3.0	9.67	0.0	22.22	
chr1	+	86914963	86914981	3	18	154.82	3.0	9.71	0.0	33.93	
chr1	+	87335537	87335561	4	24	167.08	3.36	4.8	0.0	40.0	
chr1	+	89524527	89524547	3	20	68.12	5.0	4.8	0.0	35.0	
chr1	+	89633181	89633200	3	19	115.81	4.0	5.25	0.0	26.04	
chr1	+	89633403	89633426	3	23	139.59	3.67	6.0	0.0	34.38	
chr1	+	89821181	89821200	5	19	144.58	4.69	9.18	0.0	23.36	
chr1	+	89821190	89821214	5	24	119.04	4.5	9.18	0.0	20.33	
chr1	+	89821195	89821214	4	19	108.84	4.55	9.0	0.0	23.25	
chr1	+	89821360	89821383	4	23	121.56	4.45	9.0	0.0	26.03	
chr1	+	89821365	89821383	3	18	107.28	4.5	8.71	0.0	30.61	
chr1	+	89821372	89821394	4	22	203.61	5.57	7.55	0.0	42.42	
chr1	+	89821392	89821412	3	20	146.27	5.8	7.88	0.0	39.58	
chr1	+	90706662	90706684	3	22	266.34	4.33	4.67	0.0	63.89	
chr1	+	90718816	90718837	3	21	244.05	4.5	5.88	0.0	67.92	
chr1	+	93181206	93181225	3	19	119.84	6.2	3.25	0.0	54.17	
chr1	+	93448788	93448807	3	19	86.07	6.33	7.5	0.0	30.55	
chr1	+	93847481	93847503	3	22	92.13	3.62	5.14	0.0	38.09	
chr1	+	93909470	93909489	3	19	146.15	4.4	5.67	0.0	23.89	
chr1	+	94247569	94247592	4	23	107.26	1.14	5.8	0.0	32.0	
chr1	+	94247579	94247600	5	21	101.05	1.25	6.45	0.0	24.55	
chr1	+	94247590	94247613	5	23	67.47	1.33	7.0	0.0	14.86	
chr1	+	94247592	94247613	4	21	56.12	1.4	7.0	0.0	15.45	
chr1	+	94247815	94247835	3	20	62.45	1.17	6.71	0.0	16.43	
chr1	+	99850047	99850067	3	20	65.17	6.83	4.86	0.0	20.71	
chr1	+	102046140	102046164	3	24	102.94	3.33	7.0	0.0	75.56	
chr1	+	107141539	107141563	3	24	51.36	6.5	7.0	0.0	13.19	
chr1	+	107480689	107480710	3	21	242.5	3.0	4.0	0.0	63.52	
chr1	+	107480697	107480720	3	23	271.41	3.0	4.0	0.0	69.07	
chr1	+	107965099	107965119	3	20	46.21	6.14	2.71	0.0	23.81	
chr1	+	108421475	108421494	4	19	367.23	3.0	4.27	0.0	86.97	
chr1	+	108421665	108421688	3	23	207.83	3.0	6.0	0.0	69.72	
chr1	+	108661102	108661124	3	22	66.24	6.78	6.57	0.0	16.67	
chr1	+	108661108	108661127	3	19	58.73	7.12	6.57	0.0	14.76	
chr1	+	108661124	108661145	3	21	83.23	7.25	5.88	0.0	18.12	
chr1	+	108692680	108692703	4	23	105.73	4.86	9.0	0.0	21.99	
chr1	+	108692683	108692703	3	20	92.75	5.0	9.0	0.0	25.16	
chr1	+	109656044	109656064	3	20	52.63	5.5	5.5	0.0	21.39	
